6.941132416680882322e+00,3.664651719549618658e+00,3.864405093968529048e+00,4.073440080095809712e+00,4.291787118517071065e+00,4.519398604281779086e+00,4.756136344090598378e+00,5.001758389614805900e+00,5.255905480572179655e+00,5.518087406475775225e+00,5.787669677926358780e+00,6.063860984031006929e+00,6.345701997797625893e+00,6.632056170569867959e+00,6.921603222719681092e+00,7.212836082652372305e+00,7.504062040569984937e+00,7.793408857974608139e+00,8.078836499745889910e+00,8.358155025639961266e+00,8.629048988004559106e+00,8.889108432402531790e+00,9.135866293126701621e+00,9.366841627996681297e+00,9.579587764641114944e+00,9.771744058053423387e+00,9.941089615609964625e+00,1.008559706235646836e+01,1.020348422684054590e+01,1.029326155238680762e+01,1.035377309881169161e+01,1.038422920246635961e+01,1.038422920246635961e+01,1.035377309881169161e+01,1.029326155238680762e+01,1.020348422684054590e+01,1.008559706235646836e+01,9.941089615609964625e+00,9.771744058053423387e+00,9.579587764641114944e+00,9.366841627996677744e+00,9.135866293126701621e+00,8.889108432402531790e+00,8.629048988004559106e+00,8.358155025639961266e+00,8.078836499745889910e+00,7.793408857974608139e+00,7.504062040569984937e+00,7.212836082652372305e+00,6.921603222719681092e+00,6.632056170569867959e+00,6.345701997797625893e+00,6.063860984031006929e+00,5.787669677926358780e+00,5.518087406475775225e+00,5.255905480572181432e+00,5.001758389614807676e+00,4.756136344090598378e+00,4.519398604281776421e+00,4.291787118517071065e+00,4.073440080095809712e+00,3.864405093968529048e+00,3.664651719549618658e+00,6.941132416680881434e+00
3.664651719549618658e+00,7.826775840404125856e-03,8.259341255496752132e-03,8.712495249524563126e-03,9.186356963683054919e-03,9.680876677716752227e-03,1.019580750060741781e-02,1.073067548029167304e-02,1.128474863316744625e-02,1.185700556751125706e-02,1.244610456571807952e-02,1.305035419221673050e-02,1.366768669766416089e-02,1.429563568286222955e-02,1.493131965154522421e-02,1.557143320038647735e-02,1.621224764551237180e-02,1.684962284465401847e-02,1.747903182100272318e-02,1.809559951054399984e-02,1.869415652746908574e-02,1.926930827037205349e-02,1.981551898638298642e-02,2.032720959734579669e-02,2.079886721387197435e-02,2.122516337694709335e-02,2.160107724204841928e-02,2.192201923318679718e-02,2.218395021855926186e-02,2.238349106032872654e-02,2.251801751434416576e-02,2.258573592071078801e-02,2.258573592071086433e-02,2.251801751434416576e-02,2.238349106032864327e-02,2.218395021855926186e-02,2.192201923318679718e-02,2.160107724204850255e-02,2.122516337694715233e-02,2.079886721387198129e-02,2.032720959734580363e-02,1.981551898638299336e-02,1.926930827037207083e-02,1.869415652746900247e-02,1.809559951054390270e-02,1.747903182100273706e-02,1.684962284465401500e-02,1.621224764551232322e-02,1.557143320038649123e-02,1.493131965154524676e-02,1.429563568286222434e-02,1.366768669766412966e-02,1.305035419221672703e-02,1.244610456571804136e-02,1.185700556751123451e-02,1.128474863316748268e-02,1.073067548029169212e-02,1.019580750060739699e-02,9.680876677716752227e-03,9.186356963682997673e-03,8.712495249524613433e-03,8.259341255496776418e-03,7.826775840404131060e-03,3.664651719549618658e+00
3.864405093968529492e+00,8.259341255496790296e-03,8.728781219370231742e-03,9.221674006699497744e-03,9.738275952243037256e-03,1.027866165869150555e-02,1.084269067301550302e-02,1.142997187223596806e-02,1.203982607745149661e-02,1.267124762676696652e-02,1.332286587637224184e-02,1.399290785801145243e-02,1.467916359003142851e-02,1.537895580312644526e-02,1.608911608092099960e-02,1.680596960501479220e-02,1.752533080541950061e-02,1.824251221935836026e-02,1.895234872311383351e-02,1.964923899533224314e-02,2.032720557585566273e-02,2.097997419390037685e-02,2.160107216213560596e-02,2.218394459832226384e-02,2.272208609552369557e-02,2.320918428934019145e-02,2.363927065826832569e-02,2.400687294437757469e-02,2.430716290009040520e-02,2.453609274539304136e-02,2.469051382615054108e-02,2.476827153007971766e-02,2.476827153007980092e-02,2.469051382615054455e-02,2.453609274539297544e-02,2.430716290009049541e-02,2.400687294437755387e-02,2.363927065826823548e-02,2.320918428934025043e-02,2.272208609552364353e-02,2.218394459832229854e-02,2.160107216213567188e-02,2.097997419390030052e-02,2.032720557585556212e-02,1.964923899533225007e-02,1.895234872311392371e-02,1.824251221935837761e-02,1.752533080541943816e-02,1.680596960501472975e-02,1.608911608092098572e-02,1.537895580312649384e-02,1.467916359003153433e-02,1.399290785801151661e-02,1.332286587637217939e-02,1.267124762676695438e-02,1.203982607745146538e-02,1.142997187223591254e-02,1.084269067301552730e-02,1.027866165869146566e-02,9.738275952243092767e-03,9.221674006699544582e-03,8.728781219370200517e-03,8.259341255496776418e-03,3.864405093968529048e+00
4.073440080095809712e+00,8.712495249524622107e-03,9.221674006699516826e-03,9.757522516242898500e-03,1.032046795411260300e-02,1.091074367806823750e-02,1.152835022285490438e-02,1.217301310477455698e-02,1.284413795252363835e-02,1.354076373689723847e-02,1.426151516699604264e-02,1.500455564885507138e-02,1.576754255279756017e-02,1.654758689109854519e-02,1.734121984379139586e-02,1.814436885677982517e-02,1.895234623564642090e-02,1.975985322885770445e-02,2.056100249192569646e-02,2.134936150868848095e-02,2.211801898465695984e-02,2.285967540263188907e-02,2.356675784638725263e-02,2.423155788546744321e-02,2.484638983568445217e-02,2.540376516008989796e-02,2.589657727603324189e-02,2.631828972591408744e-02,2.666311969740156260e-02,2.692620837521036981e-02,2.710376967107170493e-02,2.719320956233234679e-02,2.719320956233243006e-02,2.710376967107178126e-02,2.692620837521038368e-02,2.666311969740147586e-02,2.631828972591401111e-02,2.589657727603324883e-02,2.540376516008993266e-02,2.484638983568450421e-02,2.423155788546746403e-02,2.356675784638728038e-02,2.285967540263187173e-02,2.211801898465692862e-02,2.134936150868851218e-02,2.056100249192571033e-02,1.975985322885776690e-02,1.895234623564639662e-02,1.814436885677981823e-02,1.734121984379152770e-02,1.654758689109861458e-02,1.576754255279755323e-02,1.500455564885500720e-02,1.426151516699596458e-02,1.354076373689725235e-02,1.284413795252361580e-02,1.217301310477455698e-02,1.152835022285497724e-02,1.091074367806831903e-02,1.032046795411264289e-02,9.757522516242842989e-03,9.221674006699518561e-03,8.712495249524613433e-03,4.073440080095810600e+00
4.291787118517072841e+00,9.186356963683027163e-03,9.738275952243089298e-03,1.032046795411262208e-02,1.093357042780505883e-02,1.157801633964280694e-02,1.225398878245628764e-02,1.296137127704294172e-02,1.369969424202534952e-02,1.446807842250629264e-02,1.526517642838142591e-02,1.608911394436735032e-02,1.693743262453430501e-02,1.780703715528763470e-02,1.869414943412436858e-02,1.959427322905173477e-02,2.050217300767468928e-02,2.141187080009541305e-02,2.231666492586951989e-02,2.320917411322285379e-02,2.408140991786082014e-02,2.492487937578902191e-02,2.573071849374608533e-02,2.648985552279024130e-02,2.719320104917683639e-02,2.783185989134152535e-02,2.839735777340450865e-02,2.888187394498257371e-02,2.927846953615885831e-02,2.958130066354733995e-02,2.978580528584499898e-02,2.988885362585822630e-02,2.988885362585822630e-02,2.978580528584508225e-02,2.958130066354734689e-02,2.927846953615884790e-02,2.888187394498257024e-02,2.839735777340449824e-02,2.783185989134152882e-02,2.719320104917683639e-02,2.648985552279031763e-02,2.573071849374609921e-02,2.492487937578903925e-02,2.408140991786088952e-02,2.320917411322283297e-02,2.231666492586954764e-02,2.141187080009541305e-02,2.050217300767466846e-02,1.959427322905179375e-02,1.869414943412434083e-02,1.780703715528753062e-02,1.693743262453431195e-02,1.608911394436733644e-02,1.526517642838145020e-02,1.446807842250629611e-02,1.369969424202528360e-02,1.296137127704306141e-02,1.225398878245635703e-02,1.157801633964280347e-02,1.093357042780499291e-02,1.032046795411260993e-02,9.738275952243085828e-03,9.186356963683021959e-03,4.291787118517068400e+00
4.519398604281779086e+00,9.680876677716688042e-03,1.027866165869153678e-02,1.091074367806823750e-02,1.157801633964285724e-02,1.228116027796527336e-02,1.302059069564249355e-02,1.379639919088217551e-02,1.460829028868938610e-02,1.545551344717256692e-02,1.633679174513338883e-02,1.725024896588221723e-02,1.819333736478059849e-02,1.916276902413075259e-02,2.015445432636596423e-02,2.116345166910365769e-02,2.218393304343836692e-02,2.320917042713933204e-02,2.423154802547184544e-02,2.524260514012149209e-02,2.623311378447538630e-02,2.719319403451452011e-02,2.811246848591890043e-02,2.898025510486784695e-02,2.978579529691104816e-02,3.051851132442737549e-02,3.116828448945747898e-02,3.172574302354549264e-02,3.218254667047311390e-02,3.253165377994316626e-02,3.276755656694309293e-02,3.288647115903875484e-02,3.288647115903875484e-02,3.276755656694319008e-02,3.253165377994317320e-02,3.218254667047314166e-02,3.172574302354545794e-02,3.116828448945737143e-02,3.051851132442738590e-02,2.978579529691103428e-02,2.898025510486790246e-02,2.811246848591892472e-02,2.719319403451448888e-02,2.623311378447527528e-02,2.524260514012149209e-02,2.423154802547186626e-02,2.320917042713928347e-02,2.218393304343846406e-02,2.116345166910358136e-02,2.015445432636582199e-02,1.916276902413082198e-02,1.819333736478072686e-02,1.725024896588212356e-02,1.633679174513340965e-02,1.545551344717250274e-02,1.460829028868937049e-02,1.379639919088223622e-02,1.302059069564245886e-02,1.228116027796521091e-02,1.157801633964280347e-02,1.091074367806824097e-02,1.027866165869154025e-02,9.680876677716776513e-03,4.519398604281776421e+00
4.756136344090598378e+00,1.019580750060736056e-02,1.084269067301558975e-02,1.152835022285500846e-02,1.225398878245629111e-02,1.302059069564248661e-02,1.382886178527621343e-02,1.467916171118953048e-02,1.557142920429541340e-02,1.650510087654464414e-02,1.747902482329746071e-02,1.849137085600706387e-02,1.953953992117683780e-02,2.062007605636275234e-02,2.172858506977597831e-02,2.285966495257942335e-02,2.400685376788348063e-02,2.516260131389264770e-02,2.631827112099545049e-02,2.746417919624059845e-02,2.858967526039372931e-02,2.968327094055848644e-02,3.073281743446594494e-02,3.172573256241442013e-02,3.264927396154829187e-02,3.349085163826207023e-02,3.423836945242454688e-02,3.488058171057770857e-02,3.540744828407221129e-02,3.581046992471748763e-02,3.608298504263148659e-02,3.622041033453106407e-02,3.622041033453106407e-02,3.608298504263149353e-02,3.581046992471757784e-02,3.540744828407223210e-02,3.488058171057759060e-02,3.423836945242450525e-02,3.349085163826209799e-02,3.264927396154831962e-02,3.172573256241446871e-02,3.073281743446600739e-02,2.968327094055858012e-02,2.858967526039372237e-02,2.746417919624057069e-02,2.631827112099541927e-02,2.516260131389270668e-02,2.400685376788336961e-02,2.285966495257936090e-02,2.172858506977618648e-02,2.062007605636290500e-02,1.953953992117671290e-02,1.849137085600700836e-02,1.747902482329751622e-02,1.650510087654465108e-02,1.557142920429548452e-02,1.467916171118954262e-02,1.382886178527621343e-02,1.302059069564246406e-02,1.225398878245629458e-02,1.152835022285498418e-02,1.084269067301556200e-02,1.019580750060739352e-02,4.756136344090598378e+00
5.001758389614807676e+00,1.073067548029175457e-02,1.142997187223581887e-02,1.217301310477465065e-02,1.296137127704311692e-02,1.379639919088221714e-02,1.467916171118958599e-02,1.561035766743730339e-02,1.659023238183271812e-02,1.761848137908984813e-02,1.869414643779943735e-02,1.981550589155250605e-02,2.097996197663058032e-02,2.218392903460422033e-02,2.342272747503203884e-02,2.469048952345705497e-02,2.598008383286017769e-02,2.728306690354364433e-02,2.858966979220863014e-02,2.988882863376077573e-02,3.116826688539094115e-02,3.241463578835790393e-02,3.361371723380078558e-02,3.475068999930921998e-02,3.581045628561588257e-02,3.677802084874764316e-02,3.763891014601686291e-02,3.837961426277951282e-02,3.898803050059578001e-02,3.945388493012478431e-02,3.976910740890962637e-02,3.992813683664914182e-02,3.992813683664914182e-02,3.976910740890964024e-02,3.945388493012478431e-02,3.898803050059578695e-02,3.837961426277952670e-02,3.763891014601697393e-02,3.677802084874778193e-02,3.581045628561591032e-02,3.475068999930914365e-02,3.361371723380078558e-02,3.241463578835790393e-02,3.116826688539082665e-02,2.988882863376081736e-02,2.858966979220868912e-02,2.728306690354361658e-02,2.598008383286020545e-02,2.469048952345717987e-02,2.342272747503199720e-02,2.218392903460416829e-02,2.097996197663056991e-02,1.981550589155250605e-02,1.869414643779943735e-02,1.761848137908989670e-02,1.659023238183278404e-02,1.561035766743727390e-02,1.467916171118957731e-02,1.379639919088220673e-02,1.296137127704303366e-02,1.217301310477460555e-02,1.142997187223591081e-02,1.073067548029173375e-02,5.001758389614807676e+00
5.255905480572181432e+00,1.128474863316757462e-02,1.203982607745145150e-02,1.284413795252359325e-02,1.369969424202529922e-02,1.460829028868937743e-02,1.557142920429554177e-02,1.659023238183282567e-02,1.766533790202633181e-02,1.879678714729769023e-02,1.998390063178683701e-02,2.122514494316958544e-02,2.251799377635043189e-02,2.385878730882239757e-02,2.524259558604778977e-02,2.666309308408095283e-02,2.811245308914903443e-02,2.958127183162190948e-02,3.105853324634560986e-02,3.253162558304105445e-02,3.398642062680071185e-02,3.540742479299789636e-02,3.677800867075023405e-02,3.808071764119721342e-02,3.929766107160715533e-02,4.041097154235749611e-02,4.140331905188621153e-02,4.225845879022051277e-02,4.296178561933110956e-02,4.350086461995574666e-02,4.386590563907888374e-02,4.405015116078590115e-02,4.405015116078590115e-02,4.386590563907888374e-02,4.350086461995588544e-02,4.296178561933123446e-02,4.225845879022049889e-02,4.140331905188623929e-02,4.041097154235749611e-02,3.929766107160698185e-02,3.808071764119706770e-02,3.677800867075037283e-02,3.540742479299782697e-02,3.398642062680064246e-02,3.253162558304123486e-02,3.105853324634572782e-02,2.958127183162177071e-02,2.811245308914900320e-02,2.666309308408089385e-02,2.524259558604765447e-02,2.385878730882241144e-02,2.251799377635040761e-02,2.122514494316960279e-02,1.998390063178690640e-02,1.879678714729771452e-02,1.766533790202626936e-02,1.659023238183281873e-02,1.557142920429547758e-02,1.460829028868937222e-02,1.369969424202533911e-02,1.284413795252361754e-02,1.203982607745146538e-02,1.128474863316750523e-02,5.255905480572181432e+00
5.518087406475775225e+00,1.185700556751113216e-02,1.267124762676696131e-02,1.354076373689725062e-02,1.446807842250627356e-02,1.545551344717245590e-02,1.650510087654462332e-02,1.761848137908992099e-02,1.879678714729773187e-02,2.004050938465159679e-02,2.134935108686485811e-02,2.272206687975495548e-02,2.415629297922713276e-02,2.564837190991181570e-02,2.719317842708464730e-02,2.878395506005534954e-02,3.041216771183192710e-02,3.206739362872754184e-02,3.373725555383909336e-02,3.540741670696155585e-02,3.706165106599268455e-02,3.868200194165160449e-02,4.024903877542750780e-02,4.174221730756175197e-02,4.314034180277102892e-02,4.442212017651821221e-02,4.556679419998055369e-02,4.655481830625030765e-02,4.736855289709394901e-02,4.799293255046432893e-02,4.841606714352739843e-02,4.862973533440416440e-02,4.862973533440405338e-02,4.841606714352737761e-02,4.799293255046443302e-02,4.736855289709381023e-02,4.655481830625017581e-02,4.556679419998060226e-02,4.442212017651822609e-02,4.314034180277098035e-02,4.174221730756184912e-02,4.024903877542755637e-02,3.868200194165163225e-02,3.706165106599277476e-02,3.540741670696158361e-02,3.373725555383889907e-02,3.206739362872745858e-02,3.041216771183196527e-02,2.878395506005523852e-02,2.719317842708468547e-02,2.564837190991194060e-02,2.415629297922716051e-02,2.272206687975498324e-02,2.134935108686483729e-02,2.004050938465162801e-02,1.879678714729771452e-02,1.761848137908989670e-02,1.650510087654463026e-02,1.545551344717250621e-02,1.446807842250629264e-02,1.354076373689726102e-02,1.267124762676691968e-02,1.185700556751117726e-02,5.518087406475775225e+00
