step,energy,topological_charge
0,161.29407940313283,0.9322522626972579
2,161.24214697510328,0.9323044524221392
4,161.1902370732547,0.9323566040205978
6,161.13834968838776,0.9324087173662101
8,161.08648481131058,0.9324607923333453
10,161.0346424328387,0.9325128287971648
