step,energy,topological_charge
0,83.53494545966169,-0.7817919684470612
5,77.43905976267806,-0.808438143689182
10,71.96559420873507,-0.8399904975375115
15,67.15416909939827,-0.8719945283918978
20,62.97951386477819,-0.9004878160092098
